,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,224,225,226,227,228,229,230,231,232,233,234,235,236,237,238,239,240,241,242,243,244,245,246,247,248,249,250,251,252,253,254,255,256,257,258,259,260,261,262,263,264,265,266,267,268,269,270,271,272,273,274,275,276,277,278,279,280,281,282,283,284,285,286,287,288,289,290,291,292,293,294,295,296,297,298,299,cluster
AZO,1141.1500244140625,1164.6500244140625,1154.02001953125,1149.510009765625,1158.530029296875,1151.3900146484375,1170.4100341796875,1181.8299560546875,1159.72998046875,1155.800048828125,1146.02001953125,1124.2099609375,1131.6500244140625,1133.760009765625,1114.199951171875,1113.4100341796875,1135.7900390625,1129.5999755859375,1119.239990234375,1137.6500244140625,1164.8399658203125,1152.219970703125,1154.010009765625,1162.6300048828125,1157.1800537109375,1095.989990234375,1136.6700439453125,1137.8499755859375,1155.300048828125,1151.1300048828125,1179.3699951171875,1190.5,1180.8900146484375,1181.9000244140625,1192.9100341796875,1190.18994140625,1192.989990234375,1204.219970703125,1192.6199951171875,1177.1199951171875,1175.8699951171875,1185.43994140625,1180.4000244140625,1180.3499755859375,1229.699951171875,1246.0400390625,1252.9200439453125,1265.4599609375,1282.1500244140625,1259.43994140625,1248.02001953125,1248.3299560546875,1238.2900390625,1239.97998046875,1246.4100341796875,1227.1600341796875,1196.0400390625,1194.550048828125,1137.2099609375,1146.6400146484375,1118.3699951171875,1159.3299560546875,1193.6700439453125,1194.5999755859375,1220.3900146484375,1220.4300537109375,1224.949951171875,1224.3199462890625,1212.6700439453125,1150.4200439453125,1146.6500244140625,1173.3199462890625,1192.969970703125,1211.2900390625,1205.72998046875,1188.5899658203125,1185.18994140625,1189.8599853515625,1160.5699462890625,1159.9200439453125,1169.3900146484375,1180.0,1179.739990234375,1168.43994140625,1220.25,1241.1099853515625,1222.489990234375,1256.0,1261.9300537109375,1285.52001953125,1295.219970703125,1299.0,1290.93994140625,1303.5799560546875,1324.760009765625,1341.219970703125,1323.5699462890625,1353.489990234375,1374.4100341796875,1413.72998046875,1432.280029296875,1425.3599853515625,1404.300048828125,1418.8399658203125,1415.8800048828125,1431.8499755859375,1423.27001953125,1417.1500244140625,1438.5,1454.18994140625,1435.9100341796875,1450.8900146484375,1467.43994140625,1495.8399658203125,1504.300048828125,1514.1099853515625,1486.8900146484375,1478.8699951171875,1471.3499755859375,1443.8800048828125,1455.7900390625,1460.0,1474.9599609375,1464.1199951171875,1475.8299560546875,1477.0,1472.1099853515625,1488.8499755859375,1507.199951171875,1519.6199951171875,1495.1300048828125,1495.8800048828125,1533.760009765625,1527.5799560546875,1531.8900146484375,1510.8699951171875,1466.8199462890625,1471.77001953125,1460.260009765625,1448.4000244140625,1420.56005859375,1410.0,1411.219970703125,1406.5999755859375,1410.8499755859375,1404.6700439453125,1392.199951171875,1387.2099609375,1384.6500244140625,1393.1300048828125,1386.8499755859375,1374.530029296875,1394.6099853515625,1385.989990234375,1403.0400390625,1390.469970703125,1390.9000244140625,1386.280029296875,1415.5999755859375,1434.5,1443.030029296875,1454.550048828125,1479.27001953125,1496.1600341796875,1491.699951171875,1492.219970703125,1525.72998046875,1549.449951171875,1542.25,1549.2900390625,1537.47998046875,1564.530029296875,1577.550048828125,1557.3599853515625,1579.969970703125,1597.0799560546875,1605.300048828125,1584.5699462890625,1601.75,1591.25,1593.9000244140625,1632.1300048828125,1622.1600341796875,1624.949951171875,1608.5999755859375,1625.9100341796875,1623.5699462890625,1634.010009765625,1660.1099853515625,1644.9000244140625,1639.6099853515625,1629.8499755859375,1616.739990234375,1632.8199462890625,1637.18994140625,1630.5,1612.6099853515625,1633.0699462890625,1616.469970703125,1613.800048828125,1632.6400146484375,1640.760009765625,1622.97998046875,1599.97998046875,1613.4100341796875,1588.9000244140625,1548.489990234375,1555.7099609375,1549.1500244140625,1540.0899658203125,1520.6500244140625,1537.25,1526.219970703125,1556.3499755859375,1551.8900146484375,1550.56005859375,1553.0999755859375,1563.77001953125,1596.719970703125,1607.4200439453125,1592.8800048828125,1585.1600341796875,1643.0699462890625,1683.760009765625,1687.7900390625,1694.8299560546875,1691.3299560546875,1688.5699462890625,1737.0,1697.989990234375,1672.280029296875,1642.510009765625,1651.219970703125,1663.81005859375,1683.72998046875,1681.3699951171875,1674.0799560546875,1677.2900390625,1683.0799560546875,1717.550048828125,1736.030029296875,1758.489990234375,1764.2099609375,1769.050048828125,1807.6800537109373,1832.8900146484373,1821.0899658203125,1826.0,1825.8599853515625,1780.0999755859375,1784.8399658203125,1779.43994140625,1788.1500244140625,1791.6800537109375,1809.050048828125,1817.93994140625,1820.9300537109373,1866.3800048828125,1881.4200439453125,1886.8900146484373,1886.22998046875,1911.8399658203125,1911.280029296875,1893.8399658203125,1875.8499755859373,1859.6800537109373,1864.8800048828125,1880.0999755859373,1855.050048828125,1814.1800537109373,1838.68994140625,1817.0699462890625,1806.8299560546875,1868.2900390625,1863.0,1879.989990234375,2023.5699462890625,1988.8599853515625,1965.8299560546875,2003.02001953125,1986.0999755859373,1999.5400390625,2048.590087890625,2011.219970703125,1996.3699951171875,1994.300048828125,1990.3699951171875,2024.1600341796875,2014.5,2047.06005859375,2059.93994140625,2104.0400390625,2084.52001953125,2096.389892578125,2045.1099853515625,2080.25,2034.030029296875,2062.489990234375,2014.77001953125,2004.31005859375,2.0
CMG,1188.5400390625,1209.550048828125,1277.3699951171875,1310.3199462890625,1326.1700439453125,1278.1300048828125,1243.050048828125,1303.9300537109375,1259.27001953125,1251.4300537109375,1260.6700439453125,1268.47998046875,1296.0,1310.4599609375,1292.5699462890625,1281.0,1262.8199462890625,1276.6800537109375,1297.77001953125,1289.4300537109375,1321.06005859375,1297.0,1308.760009765625,1334.6199951171875,1347.0999755859375,1346.0,1313.97998046875,1317.22998046875,1300.0,1309.52001953125,1346.4599609375,1400.6199951171875,1409.6800537109375,1418.5699462890625,1417.989990234375,1426.300048828125,1410.989990234375,1412.550048828125,1401.489990234375,1392.2099609375,1374.1700439453125,1386.7099609375,1319.1199951171875,1355.1099853515625,1343.4100341796875,1368.1400146484375,1402.43994140625,1402.6199951171875,1401.6400146484375,1395.0,1411.800048828125,1405.739990234375,1429.47998046875,1480.6199951171875,1503.6800537109375,1494.1800537109375,1486.3199462890625,1489.25,1466.3599853515625,1480.5400390625,1480.0,1509.02001953125,1523.050048828125,1499.989990234375,1479.550048828125,1506.8800048828125,1504.0,1550.489990234375,1544.6600341796875,1543.1099853515625,1527.699951171875,1484.0,1459.5,1456.31005859375,1473.0899658203125,1430.5400390625,1416.239990234375,1449.06005859375,1410.739990234375,1442.0,1484.949951171875,1475.5699462890625,1408.219970703125,1351.1199951171875,1332.280029296875,1335.0,1427.6099853515625,1416.6700439453125,1462.06005859375,1453.239990234375,1485.6099853515625,1482.68994140625,1478.5999755859375,1429.3599853515625,1421.199951171875,1444.3299560546875,1451.2900390625,1422.9599609375,1431.8299560546875,1445.47998046875,1424.6099853515625,1406.3299560546875,1420.8199462890625,1438.4599609375,1452.0899658203125,1487.47998046875,1500.02001953125,1524.050048828125,1531.4200439453125,1539.5,1537.739990234375,1516.6600341796875,1542.3900146484375,1535.0400390625,1550.010009765625,1532.0899658203125,1507.6199951171875,1480.0,1468.530029296875,1470.7900390625,1468.8699951171875,1476.1600341796875,1484.1099853515625,1492.030029296875,1471.0400390625,1450.0,1426.5,1411.4100341796875,1426.050048828125,1391.8399658203125,1393.25,1342.02001953125,1322.699951171875,1356.2099609375,1331.5799560546875,1324.510009765625,1307.18994140625,1341.780029296875,1330.0,1342.3599853515625,1346.1300048828125,1345.81005859375,1365.5999755859375,1371.97998046875,1361.1300048828125,1362.3900146484375,1333.0400390625,1326.3399658203125,1323.260009765625,1336.6400146484375,1328.5699462890625,1344.68994140625,1366.800048828125,1391.3299560546875,1370.6400146484375,1383.3800048828125,1394.22998046875,1399.6300048828125,1426.5999755859375,1447.6400146484375,1455.3699951171875,1489.219970703125,1518.75,1507.81005859375,1534.280029296875,1550.3399658203125,1538.22998046875,1566.3699951171875,1566.4100341796875,1583.989990234375,1576.050048828125,1592.25,1615.56005859375,1607.2900390625,1619.97998046875,1581.8599853515625,1560.489990234375,1551.1600341796875,1574.3499755859375,1755.989990234375,1798.4000244140625,1830.9200439453125,1806.8699951171875,1835.1199951171875,1816.260009765625,1846.1500244140625,1863.43994140625,1864.4200439453125,1884.489990234375,1898.8299560546875,1899.97998046875,1887.1500244140625,1875.0699462890625,1866.7900390625,1856.4599609375,1877.3499755859373,1887.81005859375,1877.3699951171875,1869.6099853515625,1851.47998046875,1870.739990234375,1891.5400390625,1912.0,1920.52001953125,1924.5,1906.530029296875,1918.949951171875,1916.0699462890625,1903.3299560546875,1898.3399658203125,1902.800048828125,1920.010009765625,1894.8199462890625,1905.699951171875,1909.699951171875,1901.030029296875,1867.18994140625,1859.7900390625,1880.0799560546875,1917.8800048828125,1909.02001953125,1884.3299560546875,1897.4200439453125,1935.0400390625,1944.050048828125,1937.219970703125,1899.5,1839.4000244140625,1846.5400390625,1817.52001953125,1828.5999755859373,1804.77001953125,1830.1199951171875,1833.8900146484373,1846.6700439453125,1817.6099853515625,1783.8599853515625,1803.5699462890625,1810.550048828125,1840.68994140625,1830.9300537109373,1852.6700439453125,1841.1400146484373,1823.0899658203125,1843.8299560546875,1792.2099609375,1774.97998046875,1748.47998046875,1766.06005859375,1777.6300048828125,1779.030029296875,1801.18994140625,1799.6400146484375,1777.1099853515625,1808.1600341796875,1794.3499755859375,1799.9100341796875,1814.9000244140625,1812.010009765625,1816.0,1863.0,1839.3800048828125,1827.5400390625,1806.0,1779.1700439453125,1754.9000244140625,1721.4200439453125,1708.469970703125,1707.9300537109375,1686.8800048828125,1678.0999755859375,1643.4100341796875,1602.0799560546875,1611.43994140625,1592.0999755859375,1623.4599609375,1711.739990234375,1739.2099609375,1722.5999755859375,1721.4000244140625,1690.9300537109375,1677.199951171875,1701.1700439453125,1678.969970703125,1683.8399658203125,1679.8399658203125,1723.8900146484375,1744.6600341796875,1748.6700439453125,1766.239990234375,1752.9100341796875,1748.5999755859375,1747.219970703125,1748.25,1690.6700439453125,1647.3199462890625,1594.550048828125,1620.969970703125,1597.81005859375,1531.7099609375,2.0
MTD,1043.25,1065.5,1080.22998046875,1103.739990234375,1181.1099853515625,1179.5799560546875,1125.4599609375,1134.4000244140625,1157.8699951171875,1181.3800048828125,1187.9300537109375,1193.3599853515625,1144.81005859375,1147.3399658203125,1147.5999755859375,1138.6800537109375,1126.9599609375,1125.1600341796875,1126.6800537109375,1150.0400390625,1160.0899658203125,1139.75,1132.0,1131.75,1125.1500244140625,1161.3299560546875,1150.6800537109375,1151.8199462890625,1144.8699951171875,1139.260009765625,1149.1600341796875,1111.260009765625,1130.3299560546875,1134.8299560546875,1135.3299560546875,1125.530029296875,1126.0999755859375,1140.18994140625,1134.760009765625,1137.9599609375,1133.8800048828125,1139.6800537109375,1160.8699951171875,1176.3499755859375,1197.0899658203125,1222.5400390625,1236.989990234375,1245.02001953125,1220.47998046875,1216.6300048828125,1204.2099609375,1218.43994140625,1231.1600341796875,1268.800048828125,1244.780029296875,1234.719970703125,1233.469970703125,1210.9100341796875,1153.5,1170.800048828125,1168.0999755859375,1180.8199462890625,1217.5899658203125,1188.3800048828125,1216.93994140625,1195.199951171875,1209.27001953125,1206.5,1207.010009765625,1202.0699462890625,1220.6600341796875,1190.8299560546875,1166.4599609375,1150.510009765625,1165.449951171875,1127.8900146484375,1110.4599609375,1127.5999755859375,1109.9100341796875,1116.050048828125,1134.6700439453125,1122.5699462890625,1093.030029296875,1059.4200439453125,1060.5899658203125,1038.469970703125,1050.0,1055.0,1080.6199951171875,1067.3800048828125,1098.22998046875,1083.699951171875,1092.0400390625,1100.2900390625,1123.1500244140625,1130.8699951171875,1116.7099609375,1109.8800048828125,1117.1800537109375,1163.0799560546875,1170.5899658203125,1149.27001953125,1155.68994140625,1175.18994140625,1195.550048828125,1210.219970703125,1199.8399658203125,1206.4000244140625,1222.4100341796875,1218.8399658203125,1230.8599853515625,1224.5999755859375,1261.9599609375,1282.3299560546875,1277.2900390625,1276.9100341796875,1311.1400146484375,1301.56005859375,1335.1500244140625,1312.9000244140625,1322.8599853515625,1323.989990234375,1327.989990234375,1313.3199462890625,1315.75,1281.9200439453125,1293.010009765625,1298.5699462890625,1278.56005859375,1244.550048828125,1239.93994140625,1241.449951171875,1253.6400146484375,1274.6500244140625,1259.010009765625,1245.4300537109375,1251.4599609375,1275.8800048828125,1276.2900390625,1280.1099853515625,1287.0999755859375,1281.7099609375,1297.1199951171875,1300.949951171875,1296.300048828125,1274.8699951171875,1255.280029296875,1256.8199462890625,1248.77001953125,1266.0400390625,1269.0899658203125,1300.3900146484375,1325.47998046875,1351.8399658203125,1358.4200439453125,1349.9200439453125,1368.050048828125,1352.8699951171875,1364.550048828125,1376.989990234375,1356.5999755859375,1355.4100341796875,1352.02001953125,1381.6700439453125,1397.6500244140625,1385.3399658203125,1381.1300048828125,1401.1500244140625,1419.6500244140625,1435.969970703125,1422.4300537109375,1435.4100341796875,1436.0400390625,1442.18994140625,1435.56005859375,1436.030029296875,1448.989990234375,1438.6600341796875,1443.4100341796875,1432.7900390625,1459.5899658203125,1477.1400146484375,1471.56005859375,1479.8800048828125,1487.6400146484375,1511.699951171875,1473.7099609375,1480.1500244140625,1496.719970703125,1515.260009765625,1527.56005859375,1521.68994140625,1523.93994140625,1515.27001953125,1498.780029296875,1518.1500244140625,1537.489990234375,1558.9100341796875,1546.25,1519.9300537109375,1541.5999755859375,1530.510009765625,1531.9200439453125,1525.56005859375,1560.6199951171875,1556.8900146484375,1565.6099853515625,1588.72998046875,1552.8299560546875,1552.6700439453125,1569.18994140625,1575.31005859375,1579.449951171875,1604.050048828125,1584.800048828125,1593.989990234375,1555.47998046875,1559.43994140625,1561.1500244140625,1554.5899658203125,1545.1800537109375,1527.18994140625,1535.3800048828125,1542.780029296875,1563.510009765625,1556.8399658203125,1477.9599609375,1421.6500244140625,1408.43994140625,1377.3599853515625,1389.8699951171875,1372.52001953125,1384.02001953125,1384.5,1404.3199462890625,1385.300048828125,1361.4300537109375,1355.25,1360.43994140625,1399.31005859375,1417.75,1420.22998046875,1430.449951171875,1437.3399658203125,1436.949951171875,1469.75,1470.719970703125,1470.5799560546875,1461.8900146484375,1479.1500244140625,1480.8800048828125,1444.43994140625,1469.8399658203125,1471.25,1484.4000244140625,1518.530029296875,1543.0,1557.510009765625,1544.72998046875,1521.239990234375,1533.5899658203125,1515.050048828125,1528.510009765625,1534.1700439453125,1544.1199951171875,1552.0699462890625,1523.280029296875,1524.18994140625,1518.25,1496.6500244140625,1536.219970703125,1514.1300048828125,1520.449951171875,1547.5999755859375,1529.530029296875,1535.5,1566.1500244140625,1586.1500244140625,1582.1600341796875,1588.3699951171875,1590.199951171875,1542.9200439453125,1567.0,1565.8499755859375,1579.3399658203125,1554.4300537109375,1571.5400390625,1604.93994140625,1626.22998046875,1673.4100341796875,1675.1700439453125,1701.989990234375,1702.530029296875,1697.2099609375,1674.8599853515625,1640.72998046875,1583.1099853515625,1602.8499755859375,1542.3900146484375,1538.93994140625,2.0
