,Date,Close
0,2020-11-02,1964.739990234375
1,2020-11-03,2003.4649658203125
2,2020-11-04,2112.364959716797
3,2020-11-05,2154.0450134277344
4,2020-11-06,2154.1500244140625
5,2020-11-09,2196.600006103516
6,2020-11-10,2130.1424865722656
7,2020-11-11,2159.3374633789062
8,2020-11-12,2141.4649963378906
9,2020-11-13,2182.7400512695312
10,2020-11-16,2199.020050048828
11,2020-11-17,2187.179992675781
12,2020-11-18,2159.3699951171875
13,2020-11-19,2162.6199951171875
14,2020-11-20,2142.684967041016
15,2020-11-23,2145.162475585937
16,2020-11-24,2188.572509765625
17,2020-11-25,2196.1075439453125
18,2020-11-27,2207.054992675781
19,2020-11-30,2177.907501220703
20,2020-12-01,2216.552490234375
21,2020-12-02,2233.7174682617188
22,2020-12-03,2232.992462158203
23,2020-12-04,2234.8400268554688
24,2020-12-07,2230.822509765625
25,2020-12-08,2223.4549865722656
26,2020-12-09,2193.3250122070312
27,2020-12-10,2187.335021972656
28,2020-12-11,2190.5499877929688
29,2020-12-14,2183.8250122070312
30,2020-12-15,2198.0050354003906
31,2020-12-16,2214.9649658203125
32,2020-12-17,2209.480010986328
33,2020-12-18,2189.6324462890625
34,2020-12-21,2187.0774841308594
35,2020-12-22,2175.765014648437
36,2020-12-23,2186.6825256347656
37,2020-12-24,2183.5125122070312
38,2020-12-28,2242.982452392578
39,2020-12-29,2255.969970703125
40,2020-12-30,2241.720031738281
41,2020-12-31,2247.179992675781
42,2021-01-04,2201.269989013672
43,2021-01-05,2221.8875427246094
44,2021-01-06,2211.5899963378906
45,2021-01-07,2240.8999938964844
46,2021-01-08,2267.3199768066406
47,2021-01-11,2214.6224975585938
48,2021-01-12,2200.287567138672
49,2021-01-13,2212.489959716797
50,2021-01-14,2195.2900390625
51,2021-01-15,2171.822479248047
52,2021-01-19,2214.782501220703
53,2021-01-20,2297.599975585937
54,2021-01-21,2298.082489013672
55,2021-01-22,2288.02001953125
56,2021-01-25,2276.5275268554688
57,2021-01-26,2283.6199645996094
58,2021-01-27,2192.100006103516
59,2021-01-28,2247.0075073242188
60,2021-01-29,2203.407470703125
61,2021-02-01,2281.93994140625
62,2021-02-02,2323.040008544922
63,2021-02-03,2367.1950073242188
64,2021-02-04,2382.4849853515625
65,2021-02-05,2408.849975585937
66,2021-02-08,2399.982482910156
67,2021-02-09,2387.294982910156
68,2021-02-10,2402.5499877929688
69,2021-02-11,2401.5074462890625
70,2021-02-12,2406.8575439453125
71,2021-02-16,2421.4274291992188
72,2021-02-17,2447.335021972656
73,2021-02-18,2452.7575073242188
74,2021-02-19,2433.224975585937
75,2021-02-22,2412.474975585937
76,2021-02-23,2421.2125854492188
77,2021-02-24,2445.5025024414062
78,2021-02-25,2344.417449951172
79,2021-02-26,2370.052490234375
80,2021-03-01,2404.452453613281
81,2021-03-02,2379.265014648437
82,2021-03-03,2329.529998779297
83,2021-03-04,2319.985076904297
84,2021-03-05,2378.2925415039062
85,2021-03-08,2338.0899963378906
86,2021-03-09,2380.675018310547
87,2021-03-10,2379.544982910156
88,2021-03-11,2422.7400512695312
89,2021-03-12,2400.6124877929688
90,2021-03-15,2410.5274658203125
91,2021-03-16,2416.20751953125
92,2021-03-17,2442.702514648437
93,2021-03-18,2358.124969482422
94,2021-03-19,2358.2149658203125
95,2021-03-22,2353.009979248047
96,2021-03-23,2361.697479248047
97,2021-03-24,2341.8475341796875
