,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,224,225,226,227,228,229,230,231,232,233,234,235,236,237,238,239,240,241,242,243,244,245,246,247,248,249,250,251,252,253,254,255,256,257,258,259,260,261,262,263,264,265,266,267,268,269,270,271,272,273,274,275,276,277,278,279,280,281,282,283,284,285,286,287,288,289,290,291,292,293,294,295,296,297,298,299,cluster
GOOGL,1616.1099853515625,1624.3199462890625,1645.6600341796875,1745.8499755859375,1762.5,1759.72998046875,1761.4200439453125,1737.719970703125,1747.22998046875,1742.8199462890625,1772.260009765625,1774.030029296875,1761.6600341796875,1740.6400146484375,1758.5699462890625,1736.3800048828125,1727.56005859375,1763.9000244140625,1764.1300048828125,1787.02001953125,1754.4000244140625,1795.3599853515625,1824.969970703125,1821.8399658203125,1823.760009765625,1817.030029296875,1811.3299560546875,1777.8599853515625,1767.6500244140625,1774.800048828125,1752.260009765625,1761.0799560546875,1757.18994140625,1740.510009765625,1726.219970703125,1734.56005859375,1720.219970703125,1728.22998046875,1734.1600341796875,1773.9599609375,1757.760009765625,1736.25,1752.6400146484375,1726.1300048828125,1740.050048828125,1722.8800048828125,1774.3399658203125,1797.8299560546875,1756.2900390625,1737.4300537109375,1747.25,1730.9200439453125,1727.6199951171875,1784.469970703125,1880.0699462890625,1884.1500244140625,1892.56005859375,1894.280029296875,1907.949951171875,1818.93994140625,1853.199951171875,1827.3599853515625,1893.0699462890625,1919.1199951171875,2058.8798828125,2053.6298828125,2088.830078125,2084.52001953125,2075.389892578125,2086.47998046875,2088.75,2095.030029296875,2110.699951171875,2118.6201171875,2105.81005859375,2088.81005859375,2054.260009765625,2060.1201171875,2083.81005859375,2015.949951171875,2021.9100341796875,2069.659912109375,2064.47998046875,2011.4100341796875,2033.9300537109373,2097.070068359375,2007.5,2040.3599853515625,2036.18994140625,2100.5400390625,2050.0,2054.43994140625,2083.889892578125,2082.219970703125,2021.3399658203125,2026.9599609375,2030.68994140625,2041.3299560546875,2032.530029296875,2032.4599609375,2024.72998046875,2045.7900390625,2046.469970703125,2062.52001953125,2129.780029296875,2218.9599609375,2209.260009765625,2239.030029296875,2250.429931640625,2270.669921875,2244.6201171875,2254.429931640625,2241.909912109375,2285.25,2282.75,2289.760009765625,2279.010009765625,2278.35009765625,2252.52001953125,2299.929931640625,2309.929931640625,2290.97998046875,2359.0400390625,2392.760009765625,2353.5,2343.080078125,2306.830078125,2314.77001953125,2337.35009765625,2351.929931640625,2291.75,2270.06005859375,2200.25,2229.0400390625,2278.3798828125,2288.919921875,2262.469970703125,2271.5,2306.949951171875,2294.1298828125,2361.0400390625,2362.8701171875,2380.31005859375,2362.679931640625,2356.85009765625,2381.179931640625,2370.590087890625,2347.580078125,2393.570068359375,2402.300048828125,2398.43994140625,2407.93994140625,2435.1298828125,2430.199951171875,2448.909912109375,2428.389892578125,2415.449951171875,2434.8701171875,2402.219970703125,2436.25,2446.610107421875,2442.5400390625,2450.0,2450.169921875,2450.719970703125,2445.449951171875,2441.7900390625,2448.889892578125,2505.14990234375,2523.800048828125,2529.47998046875,2500.8798828125,2510.3701171875,2539.510009765625,2546.830078125,2564.739990234375,2540.10009765625,2539.39990234375,2491.56005859375,2524.18994140625,2550.97998046875,2568.429931640625,2660.300048828125,2680.699951171875,2638.0,2721.8798828125,2715.550048828125,2694.530029296875,2697.090087890625,2712.60009765625,2702.510009765625,2725.030029296875,2714.77001953125,2738.260009765625,2736.139892578125,2725.580078125,2743.8798828125,2754.550048828125,2766.18994140625,2733.22998046875,2708.97998046875,2713.60009765625,2748.590087890625,2800.830078125,2825.22998046875,2841.580078125,2828.81005859375,2880.080078125,2891.81005859375,2893.949951171875,2904.31005859375,2865.739990234375,2874.7900390625,2885.610107421875,2873.820068359375,2870.820068359375,2817.52001953125,2846.64990234375,2850.889892578125,2888.590087890625,2872.199951171875,2816.0,2774.389892578125,2780.659912109375,2805.669921875,2824.320068359375,2844.300048828125,2821.43994140625,2716.60009765625,2687.070068359375,2673.52001953125,2730.860107421875,2673.18994140625,2720.4599609375,2751.300048828125,2784.5,2795.7099609375,2778.280029296875,2728.97998046875,2751.639892578125,2823.02001953125,2827.360107421875,2855.56005859375,2864.739990234375,2835.3798828125,2837.719970703125,2751.330078125,2748.93994140625,2786.169921875,2924.35009765625,2916.97998046875,2960.919921875,2869.93994140625,2908.64990234375,2931.9599609375,2965.35009765625,2977.0400390625,2980.6201171875,2978.3701171875,2917.8701171875,2915.330078125,2973.56005859375,2969.0400390625,2957.52001953125,2960.93994140625,2996.77001953125,2978.530029296875,2926.0400390625,2915.639892578125,2922.39990234375,2843.659912109375,2910.610107421875,2837.949951171875,2821.030029296875,2859.320068359375,2840.030029296875,2863.10009765625,2945.389892578125,2963.72998046875,2952.77001953125,2960.030029296875,2916.530029296875,2878.139892578125,2928.820068359375,2888.89990234375,2834.5,2832.139892578125,2869.449951171875,2928.300048828125,2938.330078125,2958.1298828125,2933.739990234375,2933.10009765625,2924.010009765625,2897.0400390625,2899.830078125,2887.989990234375,2755.5,2754.949951171875,2740.340087890625,3.0
GOOG,1621.010009765625,1626.030029296875,1650.2099609375,1749.1300048828125,1763.3699951171875,1761.75,1763.0,1740.3900146484375,1752.7099609375,1749.8399658203125,1777.02001953125,1781.3800048828125,1770.1500244140625,1746.780029296875,1763.9200439453125,1742.18994140625,1734.8599853515625,1768.8800048828125,1771.4300537109375,1793.18994140625,1760.739990234375,1798.0999755859375,1827.949951171875,1826.77001953125,1827.989990234375,1819.47998046875,1818.550048828125,1784.1300048828125,1775.3299560546875,1781.77001953125,1760.06005859375,1767.77001953125,1763.0,1747.9000244140625,1731.010009765625,1739.3699951171875,1723.5,1732.3800048828125,1738.8499755859375,1776.0899658203125,1758.719970703125,1739.52001953125,1751.8800048828125,1728.239990234375,1740.9200439453125,1735.2900390625,1787.25,1807.2099609375,1766.719970703125,1746.550048828125,1754.4000244140625,1740.1800537109375,1736.18994140625,1790.8599853515625,1886.9000244140625,1891.25,1901.050048828125,1899.4000244140625,1917.239990234375,1830.7900390625,1863.1099853515625,1835.739990234375,1901.3499755859373,1927.510009765625,2070.070068359375,2062.3701171875,2098.0,2092.909912109375,2083.510009765625,2095.3798828125,2095.889892578125,2104.110107421875,2121.89990234375,2128.31005859375,2117.199951171875,2101.139892578125,2064.8798828125,2070.860107421875,2095.169921875,2031.3599853515625,2036.8599853515625,2081.510009765625,2075.840087890625,2026.7099609375,2049.090087890625,2108.5400390625,2024.1700439453125,2052.699951171875,2055.030029296875,2114.77001953125,2061.919921875,2066.489990234375,2092.52001953125,2091.080078125,2036.219970703125,2043.199951171875,2038.5899658203125,2052.9599609375,2045.06005859375,2044.3599853515625,2035.550048828125,2055.949951171875,2055.5400390625,2068.6298828125,2137.75,2225.550048828125,2224.75,2249.679931640625,2265.43994140625,2285.8798828125,2254.7900390625,2267.27001953125,2254.840087890625,2296.659912109375,2297.760009765625,2302.39990234375,2293.6298828125,2293.2900390625,2267.919921875,2315.300048828125,2326.739990234375,2307.1201171875,2379.909912109375,2429.889892578125,2410.1201171875,2395.169921875,2354.25,2356.739990234375,2381.35009765625,2398.68994140625,2341.659912109375,2308.760009765625,2239.080078125,2261.969970703125,2316.159912109375,2321.409912109375,2303.429931640625,2308.7099609375,2356.090087890625,2345.10009765625,2406.669921875,2409.070068359375,2433.530029296875,2402.510009765625,2411.56005859375,2429.81005859375,2421.280029296875,2404.610107421875,2451.760009765625,2466.090087890625,2482.85009765625,2491.39990234375,2521.60009765625,2513.929931640625,2527.0400390625,2520.659912109375,2513.929931640625,2527.419921875,2511.35009765625,2529.10009765625,2539.989990234375,2529.22998046875,2545.639892578125,2539.89990234375,2536.389892578125,2520.3701171875,2506.320068359375,2527.3701171875,2574.3798828125,2595.419921875,2601.550048828125,2583.5400390625,2591.489990234375,2611.280029296875,2619.889892578125,2641.64990234375,2625.330078125,2636.909912109375,2585.080078125,2622.030029296875,2652.010009765625,2666.570068359375,2756.320068359375,2792.889892578125,2735.929931640625,2727.6298828125,2730.81005859375,2704.419921875,2719.7900390625,2725.60009765625,2720.570068359375,2738.800048828125,2740.719970703125,2760.0400390625,2761.929931640625,2753.7900390625,2767.7900390625,2768.1201171875,2778.320068359375,2746.010009765625,2731.39990234375,2738.27001953125,2768.739990234375,2821.989990234375,2847.969970703125,2859.0,2842.4599609375,2891.010009765625,2909.389892578125,2909.239990234375,2916.840087890625,2884.3798828125,2895.5,2910.3798828125,2897.669921875,2898.27001953125,2838.419921875,2869.300048828125,2868.1201171875,2904.1201171875,2887.469970703125,2829.27001953125,2780.340087890625,2792.929931640625,2818.77001953125,2836.530029296875,2852.659912109375,2830.02001953125,2723.679931640625,2690.419921875,2665.31005859375,2729.25,2675.300048828125,2723.5400390625,2747.080078125,2783.7099609375,2801.1201171875,2776.949951171875,2734.260009765625,2758.0,2828.239990234375,2833.5,2859.2099609375,2876.43994140625,2848.300048828125,2855.610107421875,2772.5,2775.4599609375,2793.43994140625,2928.550048828125,2922.580078125,2965.409912109375,2875.47998046875,2917.260009765625,2935.800048828125,2973.659912109375,2984.820068359375,2987.030029296875,2984.969970703125,2932.52001953125,2934.9599609375,2992.909912109375,2987.760009765625,2981.52001953125,2981.239990234375,3014.179931640625,2999.050048828125,2941.570068359375,2935.139892578125,2934.35009765625,2856.1201171875,2922.280029296875,2849.0400390625,2832.360107421875,2875.530029296875,2850.409912109375,2875.929931640625,2960.72998046875,2974.409912109375,2962.1201171875,2973.5,2934.090087890625,2899.409912109375,2947.3701171875,2896.77001953125,2856.06005859375,2848.030029296875,2884.409912109375,2938.97998046875,2942.85009765625,2961.280029296875,2928.9599609375,2930.090087890625,2920.050048828125,2893.590087890625,2901.489990234375,2888.330078125,2753.070068359375,2751.02001953125,2740.090087890625,3.0
AMZN,3036.14990234375,3004.47998046875,3048.409912109375,3241.159912109375,3322.0,3311.3701171875,3143.739990234375,3035.02001953125,3137.389892578125,3110.280029296875,3128.81005859375,3131.06005859375,3135.659912109375,3105.4599609375,3117.02001953125,3099.39990234375,3098.389892578125,3118.06005859375,3185.070068359375,3195.340087890625,3168.0400390625,3220.080078125,3203.530029296875,3186.72998046875,3162.580078125,3158.0,3177.2900390625,3104.199951171875,3101.489990234375,3116.419921875,3156.969970703125,3165.1201171875,3240.9599609375,3236.080078125,3201.64990234375,3206.179931640625,3206.52001953125,3185.27001953125,3172.68994140625,3283.9599609375,3322.0,3285.85009765625,3256.929931640625,3186.6298828125,3218.510009765625,3138.3798828125,3162.159912109375,3182.699951171875,3114.2099609375,3120.830078125,3165.889892578125,3127.469970703125,3104.25,3120.760009765625,3263.3798828125,3306.989990234375,3292.22998046875,3294.0,3326.1298828125,3232.580078125,3237.6201171875,3206.199951171875,3342.8798828125,3380.0,3312.530029296875,3331.0,3352.14990234375,3322.93994140625,3305.0,3286.580078125,3262.1298828125,3277.7099609375,3268.949951171875,3308.639892578125,3328.22998046875,3249.89990234375,3180.739990234375,3194.5,3159.530029296875,3057.159912109375,3092.929931640625,3146.139892578125,3094.530029296875,3005.0,2977.570068359375,3000.4599609375,2951.949951171875,3062.85009765625,3057.639892578125,3113.590087890625,3089.489990234375,3081.679931640625,3091.860107421875,3135.72998046875,3027.989990234375,3074.9599609375,3110.8701171875,3137.5,3087.070068359375,3046.260009765625,3052.030029296875,3075.72998046875,3055.2900390625,3094.080078125,3161.0,3226.72998046875,3223.820068359375,3279.389892578125,3299.300048828125,3372.199951171875,3379.389892578125,3400.0,3333.0,3379.090087890625,3399.43994140625,3372.010009765625,3334.68994140625,3362.02001953125,3309.0400390625,3340.8798828125,3409.0,3417.429931640625,3458.5,3471.31005859375,3467.419921875,3386.489990234375,3311.8701171875,3270.5400390625,3306.3701171875,3291.610107421875,3190.489990234375,3223.909912109375,3151.93994140625,3161.469970703125,3222.89990234375,3270.389892578125,3232.280029296875,3231.800048828125,3247.679931640625,3203.080078125,3244.989990234375,3259.050048828125,3265.159912109375,3230.110107421875,3223.070068359375,3218.64990234375,3233.989990234375,3187.010009765625,3206.219970703125,3198.010009765625,3264.110107421875,3281.14990234375,3349.64990234375,3346.830078125,3383.8701171875,3383.1298828125,3415.25,3489.239990234375,3486.89990234375,3453.9599609375,3505.43994140625,3503.820068359375,3449.080078125,3401.4599609375,3443.889892578125,3448.139892578125,3440.159912109375,3432.969970703125,3510.97998046875,3675.739990234375,3696.580078125,3731.409912109375,3719.340087890625,3718.550048828125,3677.360107421875,3681.679931640625,3631.199951171875,3573.6298828125,3549.590087890625,3573.18994140625,3585.199951171875,3638.030029296875,3656.639892578125,3699.820068359375,3626.389892578125,3630.320068359375,3599.919921875,3327.590087890625,3331.47998046875,3366.239990234375,3354.719970703125,3375.989990234375,3344.93994140625,3341.8701171875,3320.679931640625,3292.110107421875,3303.5,3293.969970703125,3298.989990234375,3241.9599609375,3201.219970703125,3187.75,3199.949951171875,3265.8701171875,3305.780029296875,3299.179931640625,3316.0,3349.6298828125,3421.570068359375,3470.7900390625,3479.0,3463.1201171875,3478.050048828125,3509.2900390625,3525.5,3484.159912109375,3469.14990234375,3457.169921875,3450.0,3475.7900390625,3488.239990234375,3462.52001953125,3355.72998046875,3343.6298828125,3380.050048828125,3416.0,3425.52001953125,3405.800048828125,3315.9599609375,3301.1201171875,3285.0400390625,3283.260009765625,3189.780029296875,3221.0,3262.010009765625,3302.429931640625,3288.6201171875,3246.300048828125,3247.330078125,3284.280029296875,3299.860107421875,3409.02001953125,3446.739990234375,3444.14990234375,3415.06005859375,3435.010009765625,3335.550048828125,3320.3701171875,3376.070068359375,3392.489990234375,3446.570068359375,3372.429931640625,3318.110107421875,3312.75,3384.0,3477.0,3518.989990234375,3488.97998046875,3576.22998046875,3482.050048828125,3472.5,3525.14990234375,3545.679931640625,3540.699951171875,3549.0,3696.06005859375,3676.570068359375,3572.570068359375,3580.0400390625,3580.409912109375,3504.56005859375,3561.570068359375,3507.070068359375,3443.719970703125,3437.360107421875,3389.7900390625,3427.3701171875,3523.2900390625,3523.159912109375,3483.419921875,3444.239990234375,3391.35009765625,3381.830078125,3466.300048828125,3377.419921875,3400.35009765625,3341.580078125,3408.340087890625,3420.739990234375,3421.3701171875,3393.389892578125,3413.219970703125,3384.02001953125,3372.889892578125,3334.340087890625,3408.090087890625,3350.43994140625,3287.139892578125,3265.080078125,3251.080078125,3.0
BKNG,1622.5,1604.1300048828125,1669.5799560546875,1713.3199462890625,1768.31005859375,1783.75,2118.239990234375,2007.43994140625,2000.02001953125,1962.9200439453125,2052.8701171875,2109.610107421875,2081.25,2044.5999755859373,2010.969970703125,1992.77001953125,2019.8399658203125,2103.449951171875,2063.800048828125,2052.669921875,2028.449951171875,2052.669921875,2078.419921875,2096.6298828125,2125.030029296875,2128.780029296875,2086.64990234375,2107.110107421875,2104.8701171875,2089.2099609375,2066.010009765625,2098.050048828125,2098.7099609375,2113.429931640625,2099.64990234375,2068.199951171875,2052.820068359375,2100.85009765625,2088.35009765625,2137.919921875,2185.39990234375,2205.260009765625,2227.27001953125,2164.080078125,2188.070068359375,2249.81005859375,2239.85009765625,2281.5400390625,2221.27001953125,2196.340087890625,2182.419921875,2182.590087890625,2119.22998046875,2163.0400390625,2160.050048828125,2109.93994140625,2066.239990234375,2018.4300537109373,1983.1600341796875,1886.0899658203125,2034.0999755859373,1944.3299560546875,1990.4599609375,2065.530029296875,2027.300048828125,2082.93994140625,2096.419921875,2099.56005859375,2085.280029296875,2141.760009765625,2159.260009765625,2150.580078125,2184.159912109375,2233.77001953125,2259.7900390625,2293.050048828125,2350.02001953125,2359.3701171875,2443.5,2273.199951171875,2328.510009765625,2320.5,2282.2099609375,2275.0,2219.35009765625,2307.10009765625,2368.739990234375,2366.7900390625,2369.320068359375,2362.06005859375,2401.0400390625,2439.5,2396.56005859375,2461.780029296875,2346.949951171875,2287.739990234375,2231.889892578125,2215.0,2202.72998046875,2268.909912109375,2323.530029296875,2351.360107421875,2334.889892578125,2329.840087890625,2382.4599609375,2409.179931640625,2422.0,2410.639892578125,2427.989990234375,2450.06005859375,2409.050048828125,2404.2900390625,2454.219970703125,2433.2099609375,2476.89990234375,2456.199951171875,2345.0,2357.72998046875,2347.050048828125,2395.429931640625,2458.25,2464.14990234375,2505.10009765625,2501.429931640625,2466.080078125,2440.43994140625,2382.93994140625,2337.919921875,2279.35009765625,2327.080078125,2263.10009765625,2247.679931640625,2172.25,2207.27001953125,2282.47998046875,2223.14990234375,2211.6201171875,2270.010009765625,2306.050048828125,2293.3798828125,2348.47998046875,2339.010009765625,2347.0,2334.780029296875,2361.550048828125,2328.280029296875,2317.919921875,2295.81005859375,2315.68994140625,2298.52001953125,2303.739990234375,2314.06005859375,2324.449951171875,2304.3701171875,2305.0400390625,2301.9599609375,2298.22998046875,2294.0,2242.610107421875,2263.070068359375,2250.89990234375,2246.280029296875,2246.22998046875,2281.659912109375,2204.550048828125,2172.18994140625,2188.090087890625,2210.02001953125,2238.889892578125,2222.320068359375,2166.77001953125,2163.919921875,2194.989990234375,2204.0,2188.43994140625,2176.6201171875,2169.389892578125,2144.719970703125,2067.550048828125,2130.429931640625,2194.030029296875,2194.409912109375,2202.570068359375,2230.699951171875,2246.18994140625,2226.330078125,2214.340087890625,2178.260009765625,2170.93994140625,2139.2900390625,2085.639892578125,2207.7099609375,2182.97998046875,2157.780029296875,2200.469970703125,2200.219970703125,2193.169921875,2203.419921875,2130.889892578125,2113.27001953125,2086.31005859375,2075.860107421875,2074.739990234375,2137.320068359375,2233.110107421875,2263.7900390625,2276.800048828125,2305.469970703125,2277.7099609375,2299.669921875,2286.85009765625,2300.4599609375,2304.449951171875,2338.570068359375,2315.949951171875,2318.669921875,2304.800048828125,2322.1201171875,2328.659912109375,2375.969970703125,2345.0,2325.3701171875,2340.739990234375,2325.6201171875,2406.110107421875,2475.510009765625,2491.35009765625,2476.52001953125,2432.75,2377.820068359375,2373.8701171875,2455.8701171875,2459.52001953125,2432.340087890625,2448.199951171875,2469.0,2474.3701171875,2467.409912109375,2464.699951171875,2462.530029296875,2496.219970703125,2538.340087890625,2502.1298828125,2463.10009765625,2384.179931640625,2411.1298828125,2394.590087890625,2412.97998046875,2443.030029296875,2428.090087890625,2429.77001953125,2420.780029296875,2489.68994140625,2453.830078125,2435.330078125,2437.010009765625,2618.969970703125,2639.860107421875,2648.199951171875,2569.780029296875,2479.0400390625,2451.64990234375,2405.010009765625,2380.330078125,2366.3798828125,2375.97998046875,2339.989990234375,2297.1298828125,2341.1298828125,2323.1201171875,2155.56005859375,2182.010009765625,2101.85009765625,2067.010009765625,2171.929931640625,2114.43994140625,2227.280029296875,2245.030029296875,2307.199951171875,2267.610107421875,2236.360107421875,2149.510009765625,2124.929931640625,2130.3798828125,2164.909912109375,2210.4599609375,2208.75,2365.75,2385.179931640625,2402.25,2394.510009765625,2386.909912109375,2384.679931640625,2395.919921875,2399.22998046875,2461.419921875,2464.929931640625,2413.300048828125,2429.969970703125,2434.580078125,3.0
