Date,Close
2020-09-14,114.45571899414062
2020-09-15,114.63431549072266
2020-09-16,111.25104522705078
2020-09-17,109.47505950927734
2020-09-18,106.00251007080078
2020-09-21,109.21711730957031
2020-09-22,110.93355560302734
2020-09-23,106.28031921386719
2020-09-24,107.3716812133789
2020-09-25,111.39985656738281
2020-09-28,114.0588607788086
2020-09-29,113.1956787109375
2020-09-30,114.90219116210938
2020-10-01,115.87451934814453
2020-10-02,112.1340560913086
2020-10-05,115.58678436279297
2020-10-06,112.2729721069336
2020-10-07,114.17792510986328
2020-10-08,114.06877899169922
2020-10-09,116.0531005859375
2020-10-12,123.42487335205078
2020-10-13,120.15072631835938
2020-10-14,120.24002075195312
2020-10-15,119.76378631591797
2020-10-16,118.08702850341797
2020-10-19,115.07086944580078
2020-10-20,116.5888671875
2020-10-21,115.95388793945312
2020-10-22,114.84266662597656
2020-10-23,114.13823699951172
2020-10-26,114.14816284179688
2020-10-27,115.6860122680664
2020-10-28,110.32833099365234
2020-10-29,114.4160385131836
2020-10-30,108.00667572021484
2020-11-02,107.91737365722656
2020-11-03,109.57429504394531
2020-11-04,114.04893493652344
2020-11-05,118.09695434570312
2020-11-06,117.9627914428711
2020-11-09,115.6072998046875
2020-11-10,115.25945281982422
2020-11-11,118.75788116455078
2020-11-12,118.47959899902344
2020-11-13,118.52928924560547
2020-11-16,119.56291961669922
2020-11-17,118.65850067138672
2020-11-18,117.30681610107422
2020-11-19,117.9130859375
2020-11-20,116.62104797363281
2020-11-23,113.1524429321289
2020-11-24,114.46435546875
2020-11-25,115.31907653808594
2020-11-27,115.87564086914062
2020-11-30,118.3205795288086
2020-12-01,121.96810150146484
2020-12-02,122.32588958740234
2020-12-03,122.18675231933594
2020-12-04,121.50096893310547
2020-12-07,122.99178314208984
2020-12-08,123.61791229248047
2020-12-09,121.03384399414062
2020-12-10,122.48490142822266
2020-12-11,121.65999603271484
2020-12-14,121.03384399414062
2020-12-15,127.09647369384766
2020-12-16,127.02690124511719
2020-12-17,127.91144561767578
2020-12-18,125.88395690917969
2020-12-21,127.4443359375
2020-12-22,131.0719757080078
2020-12-23,130.15760803222656
2020-12-24,131.1614227294922
2020-12-28,135.85250854492188
2020-12-29,134.04364013671875
2020-12-30,132.90069580078125
2020-12-31,131.87701416015625
2021-01-04,128.61709594726562
2021-01-05,130.20730590820312
2021-01-06,125.8243179321289
2021-01-07,130.11785888671875
2021-01-08,131.2409210205078
2021-01-11,128.18972778320312
2021-01-12,128.0108642578125
2021-01-13,130.08804321289062
2021-01-14,128.12017822265625
2021-01-15,126.36100006103516
2021-01-19,127.04679107666016
2021-01-20,131.22103881835938
2021-01-21,136.03140258789062
2021-01-22,138.21792602539062
2021-01-25,142.04432678222656
2021-01-26,142.28285217285156
2021-01-27,141.18960571289062
2021-01-28,136.2500457763672
2021-01-29,131.1514892578125
2021-02-01,133.31813049316406
2021-02-02,134.1629180908203
2021-02-03,133.11935424804688
2021-02-04,136.54820251464844
2021-02-05,136.1251678466797
2021-02-08,136.2744903564453
2021-02-09,135.37864685058594
2021-02-10,134.76153564453125
2021-02-11,134.50274658203125
2021-02-12,134.7416229248047
2021-02-16,132.57174682617188
2021-02-17,130.23265075683594
2021-02-18,129.10791015625
2021-02-19,129.26715087890625
2021-02-22,125.41512298583984
2021-02-23,125.27577209472656
2021-02-24,124.76814270019531
